invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I274429,C195825,Female,33,Technology,4,4200.0,Cash,17/11/2022,Mall of Istanbul
I257813,C111283,Female,18,Clothing,5,1500.4,Debit Card,30/11/2021,Metropol AVM
I136221,C135858,Male,24,Clothing,1,300.08,Cash,19/02/2023,Mall of Istanbul
I543084,C342147,Female,53,Toys,4,143.36,Cash,24/03/2022,Metrocity
I109459,C318250,Male,38,Technology,3,3150.0,Credit Card,13/12/2021,Kanyon
I980252,C930868,Male,49,Shoes,5,3000.85,Credit Card,28/10/2021,Istinye Park
I412082,C160427,Male,32,Clothing,5,1500.4,Credit Card,27/01/2021,Mall of Istanbul
I337638,C231725,Male,69,Shoes,1,600.17,Cash,17/10/2021,Zorlu Center
I234752,C194643,Female,44,Shoes,3,1800.51,Credit Card,26/12/2022,Metrocity
I370097,C186152,Female,41,Cosmetics,4,162.64,Debit Card,20/11/2021,Kanyon
I139881,C204505,Female,31,Clothing,3,900.24,Cash,3/2/2023,Metropol AVM
I133351,C230608,Female,41,Toys,4,143.36,Debit Card,4/4/2021,Mall of Istanbul
I252574,C313367,Male,58,Clothing,4,1200.32,Credit Card,27/05/2021,Zorlu Center
I316824,C280886,Male,47,Clothing,1,300.08,Cash,12/8/2022,Mall of Istanbul
I718931,C100540,Male,48,Food & Beverage,2,10.46,Debit Card,5/2/2022,Istinye Park
I312008,C167515,Male,66,Clothing,4,1200.32,Cash,25/01/2022,Istinye Park
I351073,C292448,Male,27,Clothing,3,900.24,Cash,27/02/2021,Istinye Park
